,Titulo
0, Alojamiento en RevolucionA6 Dep 5 Min Linea Zona Dorada1 cama1–6 de feb.$423 MXN noche$423 MXN por nocheNuevo
1,Superanfitrión Residencia en TijuanaTerraza Aeropuerto 24–9 de feb.$540 MXN noche$540 MXN por noche4.78 (9)
2," 248Evaluaciones4.78Calificación6Años de experienciaHabitación en Zona CentroQuédate con Mar,  · Anfitrión desde hace 6 años-:LINDO CUARTO, ENTRADA PRIVADA EN Z.CENTRO-CACHO8–13 de feb.$350 MXN noche$350 MXN por noche4.78 (248)"
3,Favorito entre huéspedes Minicasa en TijuanaTinyHouse muy centrica!1 cama tamaño queen1–6 de feb.$714 MXN noche$714 MXN por noche4.87 (15)
4, Alojamiento en TijuanaBonita recámara a 15 min Estadio +10 min Garitas.1 cama1–6 de feb.$301 MXN noche$301 MXN por nocheNuevo
5,"Favorito entre huéspedes Loft en Tijuanalujoso loft en Tower Icon por cosmopolitan1 cama1–6 de feb.$1,750 MXN noche$1,750 MXN por noche4.92 (90)"
6," Suite con entrada independiente en TijuanaAcogedora suite con vista al mar y terraza privada1 cama4–9 de feb.$1,115 MXN $669 MXN noche$669 MXN por noche, inicialmente $1,115 MXN4.72 (144)"
7, Departamento en TijuanaCerca del Aeropuerto y Línea.1 cama1–6 de feb.$599 MXN noche$599 MXN por nocheNuevo
8," Departamento en Zona Urbana Río TijuanaMaravilloso Dpto cA/C | Gym+Cine+B-Lounge+Juegos1 cama tamaño queen1–6 de feb.$1,877 MXN $1,615 MXN noche$1,615 MXN por noche, inicialmente $1,877 MXN4.72 (305)"
9," 75Evaluaciones4.44Calificación8Años de experienciaHabitación en TijuanaQuédate con Araceli,  · Profesional independienteAcogedora habitación, bien ubicada cerca de Plaza Carrousel1–6 de feb.$428 MXN noche$428 MXN por noche4.44 (75)"
10,"Superanfitrión Departamento en Hipódromo Agua CalienteApartamento inolvidable2 camas4–9 de feb.$1,685 MXN $1,472 MXN noche$1,472 MXN por noche, inicialmente $1,685 MXN4.68 (47)"
11, Loft en TijuanaBello y Cómodo Apartamento!1 cama matrimonial4–9 de feb.$592 MXN noche$592 MXN por noche4.84 (215)
12,Favorito entre huéspedes Loft en TijuanaStudio perfecto para viaje de negocios o visita1 cama1–6 de feb.$802 MXN noche$802 MXN por noche4.86 (90)
13, Departamento en Tijuana3-1 Estudio Chico GaritaOtay/Aeropuerto/FACTURAMOS1 cama matrimonial1–6 de feb.$549 MXN noche$549 MXN por noche4.72 (103)
14, Condominio en Zona CentroHotel de moda Boutique Habitación privada 3 huéspedes1 cama1–6 de feb.$669 MXN noche$669 MXN por noche4.84 (32)
15, Departamento en Zona Centro•Ubicación/espacioso. Hermoso apartamento Centro/Cacho2 camas9–14 de feb.$906 MXN noche$906 MXN por noche4.76 (25)
16,Favorito entre huéspedes Casa de huéspedes en Zona CentroS1 Habitación acogedora en el centro de TJ1 cama3–8 de feb.$614 MXN noche$614 MXN por noche4.84 (61)
17, Suite con entrada independiente en TijuanaEstudio Tulipán1 cama tamaño queen1–6 de feb.$750 MXN noche$750 MXN por noche4.79 (43)
